Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,4,65,8450,Pave,3,Reg,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,1,1,2,196,Gd,TA,PConc,3,4,4,3,706,6,0,150,856,GasA,Ex,Y,5,856,854,0,1710,1,0,2,1,3,1,3,8,6,0,6,2,2003,2,2,548,4,4,Y,0,61,0,0,0,0,4,5,5,0,2,2008,1,Normal,208500
2,20,4,80,9600,Pave,3,Reg,Lvl,1,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,2,2,3,0,TA,TA,CBlock,3,4,1,1,978,6,0,284,1262,GasA,Ex,Y,5,1262,0,0,1262,0,1,2,0,3,1,4,6,6,1,4,2,1976,2,2,460,4,4,Y,298,0,0,0,0,0,4,5,5,0,5,2007,1,Normal,181500
3,60,4,68,11250,Pave,3,IR1,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,1,1,2,162,Gd,TA,PConc,3,4,3,3,486,6,0,434,920,GasA,Ex,Y,5,920,866,0,1786,1,0,2,1,3,1,3,6,6,1,4,2,2001,2,2,608,4,4,Y,0,42,0,0,0,0,4,5,5,0,9,2008,1,Normal,223500
4,70,4,60,9550,Pave,3,IR1,Lvl,1,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,3,3,3,0,TA,TA,BrkTil,4,2,4,1,216,6,0,540,756,GasA,Gd,Y,5,961,756,0,1717,1,0,1,0,3,1,3,7,6,1,3,6,1998,3,3,642,4,4,Y,0,35,272,0,0,0,4,5,5,0,2,2006,1,Abnorml,140000
5,60,4,84,14260,Pave,3,IR1,Lvl,1,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,1,1,2,350,Gd,TA,PConc,3,4,2,3,655,6,0,490,1145,GasA,Ex,Y,5,1145,1053,0,2198,1,0,2,1,4,1,3,9,6,1,4,2,2000,2,3,836,4,4,Y,192,84,0,0,0,0,4,5,5,0,12,2008,1,Normal,250000
6,50,4,85,14115,Pave,3,IR1,Lvl,1,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,1,1,3,0,TA,TA,Wood,3,4,4,3,732,6,0,64,796,GasA,Ex,Y,5,796,566,0,1362,1,0,1,1,1,1,4,5,6,0,6,2,1993,3,2,480,4,4,Y,40,30,0,320,0,0,4,3,1,700,10,2009,1,Normal,143000
7,20,4,75,10084,Pave,3,Reg,Lvl,1,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,1,1,4,186,Gd,TA,PConc,1,4,2,3,1369,6,0,317,1686,GasA,Ex,Y,5,1694,0,0,1694,1,0,2,0,3,1,3,7,6,1,3,2,2004,2,2,636,4,4,Y,255,57,0,0,0,0,4,5,5,0,8,2007,1,Normal,307000
8,60,4,,10382,Pave,3,IR1,Lvl,1,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,4,4,4,240,TA,TA,CBlock,3,4,3,1,859,2,32,216,1107,GasA,Ex,Y,5,1107,983,0,2090,1,0,2,1,3,1,4,7,6,2,4,2,1973,2,2,484,4,4,Y,235,204,228,0,0,0,4,5,1,350,11,2009,1,Normal,200000
9,50,5,51,6120,Pave,3,Reg,Lvl,1,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,5,3,3,0,TA,TA,BrkTil,4,4,4,6,0,6,0,952,952,GasA,Gd,Y,2,1022,752,0,1774,0,0,2,0,2,2,4,8,3,2,4,6,1931,3,2,468,2,4,Y,90,0,205,0,0,0,4,5,5,0,4,2008,1,Abnorml,129900
10,190,4,50,7420,Pave,3,Reg,Lvl,1,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,2,2,3,0,TA,TA,BrkTil,4,4,4,3,851,6,0,140,991,GasA,Ex,Y,5,1077,0,0,1077,1,0,1,0,2,2,4,5,6,2,4,2,1939,2,1,205,3,4,Y,0,4,0,0,0,0,4,5,5,0,1,2008,1,Normal,118000
